timestamp,machine_id,temperature_c,fan_rpm,coolant_pressure_bar,coolant_level_pct,vibration_mms,status,incident_tag
2026-08-16 08:00:00,Machine 101,68.4,1280,2.42,75,0.16,NORMAL,ROUTINE_CYCLE
2026-08-17 08:00:00,Machine 101,69.1,1275,2.40,75,0.17,NORMAL,ROUTINE_CYCLE
2026-08-18 08:00:00,Machine 101,70.2,1260,2.38,74,0.16,NORMAL,ROUTINE_CYCLE
2026-08-19 08:00:00,Machine 101,71.0,1265,2.39,74,0.18,NORMAL,ROUTINE_CYCLE
2026-08-20 08:00:00,Machine 101,72.4,1250,2.37,73,0.17,NORMAL,ROUTINE_CYCLE
2026-08-21 08:00:00,Machine 101,71.8,1255,2.38,73,0.19,NORMAL,ROUTINE_CYCLE
2026-08-22 08:00:00,Machine 101,73.1,1245,2.36,72,0.18,NORMAL,ROUTINE_CYCLE
2026-08-23 08:00:00,Machine 101,72.9,1250,2.36,72,0.17,NORMAL,ROUTINE_CYCLE
2026-08-24 08:00:00,Machine 101,74.2,1240,2.35,71,0.20,NORMAL,ROUTINE_CYCLE
2026-08-25 08:00:00,Machine 101,75.0,1240,2.35,71,0.19,NORMAL,ROUTINE_CYCLE
2026-08-26 08:00:00,Machine 101,75.8,1235,2.34,70,0.21,NORMAL,ROUTINE_CYCLE
2026-08-27 08:00:00,Machine 101,76.5,1230,2.33,70,0.20,NORMAL,ROUTINE_CYCLE
2026-08-28 08:00:00,Machine 101,77.2,1230,2.34,69,0.22,NORMAL,ROUTINE_CYCLE
2026-08-29 08:00:00,Machine 101,78.0,1225,2.32,69,0.21,NORMAL,ROUTINE_CYCLE
2026-08-30 08:00:00,Machine 101,78.9,1220,2.31,68,0.23,NORMAL,ROUTINE_CYCLE
2026-08-31 08:00:00,Machine 101,79.5,1220,2.32,68,0.22,NORMAL,ROUTINE_CYCLE
2026-09-01 08:00:00,Machine 101,80.4,1215,2.30,68,0.24,WARNING,EXCEEDS_80C_THRESHOLD
2026-09-02 08:00:00,Machine 101,81.2,1210,2.29,67,0.25,WARNING,THERMAL_ELEVATION
2026-09-03 08:00:00,Machine 101,82.0,1215,2.30,67,0.24,WARNING,THERMAL_ELEVATION
2026-09-04 08:00:00,Machine 101,81.8,1210,2.28,67,0.26,WARNING,THERMAL_ELEVATION
2026-09-05 08:00:00,Machine 101,82.7,1205,2.29,66,0.25,WARNING,AIRFLOW_IMPEDANCE
2026-09-06 08:00:00,Machine 101,83.1,1205,2.28,66,0.27,WARNING,AIRFLOW_IMPEDANCE
2026-09-07 08:00:00,Machine 101,83.8,1200,2.27,65,0.28,WARNING,AIRFLOW_IMPEDANCE
2026-09-08 08:00:00,Machine 101,84.1,1200,2.28,65,0.27,WARNING,AIRFLOW_IMPEDANCE
2026-09-09 08:00:00,Machine 101,83.9,1205,2.27,65,0.29,WARNING,AIRFLOW_IMPEDANCE
2026-09-10 08:00:00,Machine 101,84.0,1210,2.28,64,0.28,WARNING,AIRFLOW_IMPEDANCE
2026-09-11 08:00:00,Machine 101,84.3,1210,2.27,64,0.30,WARNING,AIRFLOW_IMPEDANCE
2026-09-12 08:00:00,Machine 101,84.5,1205,2.26,64,0.29,WARNING,AIRFLOW_IMPEDANCE
2026-09-13 08:00:00,Machine 101,84.2,1240,2.35,68,0.19,WARNING,INSPECTION_RECORDED
2026-09-14 08:00:00,Machine 101,84.2,1240,2.35,68,0.19,WARNING,IR_2026_0914_A
